0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
0 success, cost: 253 ms
77 fail, cost: 1101 ms
78 fail, cost: 585 ms
79 fail, cost: 515 ms
80 fail, cost: 1013 ms
81 fail, cost: 1168 ms
82 fail, cost: 854 ms
83 fail, cost: 680 ms
84 fail, cost: 766 ms
85 fail, cost: 1305 ms
1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 
86 success, cost: 282 ms
87 fail, cost: 686 ms
88 fail, cost: 668 ms
89 fail, cost: 668 ms
90 fail, cost: 1304 ms
91 fail, cost: 637 ms
92 fail, cost: 877 ms
93 fail, cost: 527 ms
94 fail, cost: 586 ms
95 fail, cost: 1098 ms
96 fail, cost: 1086 ms
97 fail, cost: 490 ms
98 fail, cost: 844 ms
99 fail, cost: 1209 ms
100 fail, cost: 700 ms
101 fail, cost: 575 ms
102 fail, cost: 806 ms
103 fail, cost: 709 ms
104 fail, cost: 1714 ms
105 fail, cost: 611 ms
106 fail, cost: 1130 ms
107 fail, cost: 1373 ms
108 fail, cost: 887 ms
109 fail, cost: 813 ms
110 fail, cost: 898 ms
111 fail, cost: 1193 ms
112 fail, cost: 718 ms
113 fail, cost: 553 ms
114 fail, cost: 621 ms
115 fail, cost: 527 ms
116 fail, cost: 1297 ms
117 fail, cost: 558 ms
118 fail, cost: 738 ms
119 fail, cost: 524 ms
120 fail, cost: 656 ms
121 fail, cost: 1135 ms
122 fail, cost: 693 ms
123 fail, cost: 474 ms
124 fail, cost: 806 ms
125 fail, cost: 586 ms
126 fail, cost: 1329 ms
127 fail, cost: 715 ms
128 fail, cost: 1332 ms
129 fail, cost: 597 ms
130 fail, cost: 1249 ms
131 fail, cost: 615 ms
132 fail, cost: 744 ms
133 fail, cost: 588 ms
134 fail, cost: 696 ms
135 fail, cost: 1513 ms
136 fail, cost: 660 ms
137 fail, cost: 719 ms
138 fail, cost: 586 ms
139 fail, cost: 1146 ms
140 fail, cost: 660 ms
141 fail, cost: 730 ms
142 fail, cost: 593 ms
143 fail, cost: 1121 ms
144 fail, cost: 774 ms
145 fail, cost: 579 ms
146 fail, cost: 607 ms
147 fail, cost: 523 ms
148 fail, cost: 1263 ms
149 fail, cost: 534 ms
150 fail, cost: 636 ms
151 fail, cost: 430 ms
152 fail, cost: 666 ms
153 fail, cost: 1241 ms
154 fail, cost: 682 ms
155 fail, cost: 577 ms
156 fail, cost: 703 ms
157 fail, cost: 532 ms
158 fail, cost: 1412 ms
159 fail, cost: 698 ms
160 fail, cost: 729 ms
161 fail, cost: 685 ms
162 fail, cost: 1643 ms
163 fail, cost: 649 ms
164 fail, cost: 906 ms
165 fail, cost: 656 ms
166 fail, cost: 1318 ms
167 fail, cost: 890 ms
168 fail, cost: 827 ms
169 fail, cost: 532 ms
170 fail, cost: 627 ms
171 fail, cost: 1119 ms
172 fail, cost: 861 ms
173 fail, cost: 462 ms
174 fail, cost: 593 ms
175 fail, cost: 404 ms
176 fail, cost: 1293 ms
177 fail, cost: 499 ms
178 fail, cost: 625 ms
179 fail, cost: 370 ms
180 fail, cost: 618 ms
181 fail, cost: 1040 ms
182 fail, cost: 507 ms
183 fail, cost: 318 ms
184 fail, cost: 516 ms
185 fail, cost: 480 ms
186 fail, cost: 570 ms
187 fail, cost: 1051 ms
188 fail, cost: 673 ms
189 fail, cost: 562 ms
190 fail, cost: 587 ms
191 fail, cost: 382 ms
192 fail, cost: 1451 ms
193 fail, cost: 654 ms
194 fail, cost: 810 ms
195 fail, cost: 593 ms
196 fail, cost: 785 ms
197 fail, cost: 1198 ms
198 fail, cost: 764 ms
199 fail, cost: 641 ms
200 fail, cost: 1018 ms
201 fail, cost: 1294 ms
202 fail, cost: 1043 ms
203 fail, cost: 734 ms
204 fail, cost: 738 ms
205 fail, cost: 1222 ms
206 fail, cost: 717 ms
207 fail, cost: 496 ms
208 fail, cost: 672 ms
209 fail, cost: 639 ms
210 fail, cost: 1329 ms
211 fail, cost: 540 ms
212 fail, cost: 649 ms
213 fail, cost: 525 ms
214 fail, cost: 681 ms
215 fail, cost: 1113 ms
216 fail, cost: 599 ms
217 fail, cost: 508 ms
218 fail, cost: 714 ms
219 fail, cost: 519 ms
220 fail, cost: 1207 ms
221 fail, cost: 432 ms
222 fail, cost: 800 ms
223 fail, cost: 417 ms
224 fail, cost: 1658 ms
225 fail, cost: 510 ms
226 fail, cost: 795 ms
227 fail, cost: 575 ms
228 fail, cost: 775 ms
229 fail, cost: 1276 ms
230 fail, cost: 1138 ms
231 fail, cost: 933 ms
232 fail, cost: 1524 ms
233 fail, cost: 820 ms
234 fail, cost: 772 ms
235 fail, cost: 726 ms
236 fail, cost: 1303 ms
237 fail, cost: 828 ms
238 fail, cost: 833 ms
239 fail, cost: 504 ms
240 fail, cost: 1774 ms
241 fail, cost: 698 ms
242 fail, cost: 698 ms
243 fail, cost: 861 ms
244 fail, cost: 891 ms
245 fail, cost: 1147 ms
246 fail, cost: 940 ms
247 fail, cost: 484 ms
248 fail, cost: 618 ms
249 fail, cost: 558 ms
250 fail, cost: 1196 ms
251 fail, cost: 544 ms
252 fail, cost: 699 ms
253 fail, cost: 448 ms
254 fail, cost: 423 ms
255 fail, cost: 287 ms
