0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
0 success, cost: 30 ms
100 fail, cost: 595 ms
101 fail, cost: 717 ms
102 fail, cost: 527 ms
103 fail, cost: 559 ms
104 fail, cost: 1221 ms
105 fail, cost: 758 ms
106 fail, cost: 448 ms
107 fail, cost: 438 ms
108 fail, cost: 494 ms
109 fail, cost: 1021 ms
110 fail, cost: 389 ms
111 fail, cost: 436 ms
112 fail, cost: 638 ms
113 fail, cost: 619 ms
114 fail, cost: 1174 ms
115 fail, cost: 555 ms
116 fail, cost: 568 ms
117 fail, cost: 480 ms
118 fail, cost: 735 ms
119 fail, cost: 1290 ms
120 fail, cost: 697 ms
121 fail, cost: 694 ms
122 fail, cost: 575 ms
123 fail, cost: 568 ms
124 fail, cost: 620 ms
125 fail, cost: 1067 ms
126 fail, cost: 400 ms
127 fail, cost: 444 ms
128 fail, cost: 581 ms
129 fail, cost: 605 ms
130 fail, cost: 1309 ms
131 fail, cost: 601 ms
132 fail, cost: 867 ms
133 fail, cost: 539 ms
134 fail, cost: 1228 ms
135 fail, cost: 469 ms
136 fail, cost: 680 ms
137 fail, cost: 486 ms
138 fail, cost: 575 ms
139 fail, cost: 1238 ms
140 fail, cost: 706 ms
141 fail, cost: 490 ms
142 fail, cost: 642 ms
143 fail, cost: 803 ms
144 fail, cost: 1368 ms
145 fail, cost: 836 ms
146 fail, cost: 688 ms
147 fail, cost: 768 ms
148 fail, cost: 1418 ms
149 fail, cost: 626 ms
150 fail, cost: 596 ms
151 fail, cost: 721 ms
152 fail, cost: 1334 ms
153 fail, cost: 528 ms
154 fail, cost: 545 ms
155 fail, cost: 695 ms
156 fail, cost: 634 ms
157 fail, cost: 443 ms
158 fail, cost: 1051 ms
159 fail, cost: 535 ms
160 fail, cost: 792 ms
161 fail, cost: 578 ms
162 fail, cost: 606 ms
163 fail, cost: 1184 ms
164 fail, cost: 695 ms
165 fail, cost: 537 ms
166 fail, cost: 532 ms
167 fail, cost: 461 ms
168 fail, cost: 1134 ms
169 fail, cost: 430 ms
170 fail, cost: 527 ms
171 fail, cost: 651 ms
172 fail, cost: 526 ms
173 fail, cost: 1072 ms
174 fail, cost: 567 ms
175 fail, cost: 611 ms
176 fail, cost: 715 ms
177 fail, cost: 681 ms
178 fail, cost: 1243 ms
179 fail, cost: 766 ms
180 fail, cost: 771 ms
181 fail, cost: 658 ms
182 fail, cost: 680 ms
183 fail, cost: 1212 ms
184 fail, cost: 676 ms
185 fail, cost: 748 ms
186 fail, cost: 703 ms
187 fail, cost: 583 ms
188 fail, cost: 1154 ms
189 fail, cost: 566 ms
190 fail, cost: 495 ms
191 fail, cost: 377 ms
192 fail, cost: 737 ms
193 fail, cost: 1223 ms
194 fail, cost: 341 ms
195 fail, cost: 372 ms
196 fail, cost: 456 ms
197 fail, cost: 544 ms
198 fail, cost: 338 ms
199 fail, cost: 381 ms
200 fail, cost: 1117 ms
201 fail, cost: 630 ms
202 fail, cost: 327 ms
203 fail, cost: 489 ms
204 fail, cost: 538 ms
205 fail, cost: 1053 ms
206 fail, cost: 549 ms
207 fail, cost: 535 ms
208 fail, cost: 802 ms
209 fail, cost: 476 ms
210 fail, cost: 1130 ms
211 fail, cost: 789 ms
212 fail, cost: 887 ms
213 fail, cost: 726 ms
214 fail, cost: 1373 ms
215 fail, cost: 464 ms
216 fail, cost: 656 ms
217 fail, cost: 651 ms
218 fail, cost: 648 ms
219 fail, cost: 1291 ms
220 fail, cost: 526 ms
221 fail, cost: 560 ms
222 fail, cost: 571 ms
223 fail, cost: 447 ms
224 fail, cost: 825 ms
225 fail, cost: 1342 ms
226 fail, cost: 443 ms
227 fail, cost: 372 ms
228 fail, cost: 702 ms
229 fail, cost: 778 ms
230 fail, cost: 1252 ms
231 fail, cost: 620 ms
232 fail, cost: 599 ms
233 fail, cost: 415 ms
234 fail, cost: 497 ms
235 fail, cost: 998 ms
236 fail, cost: 452 ms
237 fail, cost: 395 ms
238 fail, cost: 380 ms
239 fail, cost: 358 ms
240 fail, cost: 611 ms
241 fail, cost: 594 ms
242 fail, cost: 1193 ms
243 fail, cost: 466 ms
244 fail, cost: 620 ms
245 fail, cost: 453 ms
246 fail, cost: 541 ms
247 fail, cost: 991 ms
248 fail, cost: 644 ms
249 fail, cost: 555 ms
250 fail, cost: 423 ms
251 fail, cost: 433 ms
252 fail, cost: 528 ms
253 fail, cost: 1005 ms
254 fail, cost: 371 ms
255 fail, cost: 385 ms
